,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
4e172808-5f62-4174-b7ec-68519a2b83d9,S2B_MSIL2A_20230510T104629_N0509_R051_T31UDP_20230510T121504.SAFE,2023-05-10 10:46:29.024,51,96.999085,ASCENDING,T31UDP,T31UDP_20230510T104629,05,130,2023
287bd2f8-c9ad-4912-b400-8a9ec91a4761,S2A_MSIL2A_20230505T104621_N0509_R051_T31UDP_20230505T152056.SAFE,2023-05-05 10:46:21.024,51,67.369002,ASCENDING,T31UDP,T31UDP_20230505T104621,05,125,2023
b134aafc-6b34-4b3e-af0c-2e4592184821,S2B_MSIL2A_20230430T104619_N0509_R051_T31UDP_20230430T122918.SAFE,2023-04-30 10:46:19.024,51,94.61686,ASCENDING,T31UDP,T31UDP_20230430T104619,04,120,2023
3788173b-e3d0-4103-942d-8bfca9e92357,S2A_MSIL2A_20230425T104621_N0509_R051_T31UDP_20230425T150858.SAFE,2023-04-25 10:46:21.024,51,99.56262700000002,ASCENDING,T31UDP,T31UDP_20230425T104621,04,115,2023
7e72d2e1-241d-452d-89a5-61f6c6b0a5a7,S2B_MSIL2A_20230420T104619_N0509_R051_T31UDP_20230420T122124.SAFE,2023-04-20 10:46:19.024,51,20.284976,ASCENDING,T31UDP,T31UDP_20230420T104619,04,110,2023
2fa21ed6-557e-4163-897c-cd1c0903c9cb,S2A_MSIL2A_20230415T104621_N0509_R051_T31UDP_20230415T165855.SAFE,2023-04-15 10:46:21.024,51,99.9439,ASCENDING,T31UDP,T31UDP_20230415T104621,04,105,2023
4b82aeac-111f-471a-b1ae-9f5763d8d067,S2B_MSIL2A_20230410T104619_N0509_R051_T31UDP_20230410T122439.SAFE,2023-04-10 10:46:19.024,51,100.0,ASCENDING,T31UDP,T31UDP_20230410T104619,04,100,2023
641a4807-ecbe-439b-ab8d-028f161171d3,S2A_MSIL2A_20230405T105031_N0509_R051_T31UDP_20230405T162253.SAFE,2023-04-05 10:50:31.024,51,20.93866,DESCENDING,T31UDP,T31UDP_20230405T105031,04,095,2023
f99688e1-2660-470d-bc4f-7553c016b9af,S2B_MSIL2A_20230331T104629_N0509_R051_T31UDP_20230331T135550.SAFE,2023-03-31 10:46:29.025,51,95.398277,DESCENDING,T31UDP,T31UDP_20230331T104629,03,090,2023
d6a810dc-c4b1-4d22-a850-8d43ea83da17,S2A_MSIL2A_20230326T104701_N0509_R051_T31UDP_20230326T165657.SAFE,2023-03-26 10:47:01.024,51,73.822969,DESCENDING,T31UDP,T31UDP_20230326T104701,03,085,2023
36bc6fa7-aa4f-4353-8b77-27f01f4cbbec,S2B_MSIL2A_20230321T104649_N0509_R051_T31UDP_20230321T135237.SAFE,2023-03-21 10:46:49.025,51,86.163855,DESCENDING,T31UDP,T31UDP_20230321T104649,03,080,2023
1a8a1d00-cb82-4002-ae56-dfe85acb2492,S2A_MSIL2A_20230316T104801_N0509_R051_T31UDP_20230316T165055.SAFE,2023-03-16 10:48:01.024,51,91.376221,DESCENDING,T31UDP,T31UDP_20230316T104801,03,075,2023
ad083565-c066-404e-b11c-f726be4d17a1,S2B_MSIL2A_20230311T104749_N0509_R051_T31UDP_20230311T140459.SAFE,2023-03-11 10:47:49.025,51,85.643935,DESCENDING,T31UDP,T31UDP_20230311T104749,03,070,2023
a6df9558-be37-4137-959c-e3a09daddfb8,S2A_MSIL2A_20230306T104921_N0509_R051_T31UDP_20230306T170559.SAFE,2023-03-06 10:49:21.024,51,93.347019,DESCENDING,T31UDP,T31UDP_20230306T104921,03,065,2023
81be86b2-4ec2-45e1-a700-26f3e3ddb525,S2B_MSIL2A_20230301T104859_N0509_R051_T31UDP_20230301T135211.SAFE,2023-03-01 10:48:59.025,51,42.826453,DESCENDING,T31UDP,T31UDP_20230301T104859,03,060,2023
dc042f8e-fb93-455e-b72e-31d4e2ab9cdb,S2A_MSIL2A_20230224T105031_N0509_R051_T31UDP_20230224T170756.SAFE,2023-02-24 10:50:31.024,51,97.14685100000001,DESCENDING,T31UDP,T31UDP_20230224T105031,02,055,2023
f3c13636-3361-4a57-9a8b-236a223890bb,S2B_MSIL2A_20230219T105009_N0509_R051_T31UDP_20230219T135319.SAFE,2023-02-19 10:50:09.024,51,95.942551,DESCENDING,T31UDP,T31UDP_20230219T105009,02,050,2023
057f8600-8828-4d70-8724-6072768ed11d,S2A_MSIL2A_20230214T105141_N0509_R051_T31UDP_20230214T171054.SAFE,2023-02-14 10:51:41.024,51,0.016981,DESCENDING,T31UDP,T31UDP_20230214T105141,02,045,2023
40e4a55c-8d04-41de-bf8b-dfd3d44662f4,S2B_MSIL2A_20230209T105109_N0509_R051_T31UDP_20230209T134831.SAFE,2023-02-09 10:51:09.024,51,45.617774,DESCENDING,T31UDP,T31UDP_20230209T105109,02,040,2023
af21fe77-8e9f-4c62-91dc-577bbbde8c0d,S2A_MSIL2A_20230204T105241_N0509_R051_T31UDP_20230204T170158.SAFE,2023-02-04 10:52:41.024,51,86.788553,DESCENDING,T31UDP,T31UDP_20230204T105241,02,035,2023
6c82ab5e-e7be-4fc4-8cec-5dce64c87d1c,S2B_MSIL2A_20230130T105209_N0509_R051_T31UDP_20230130T121428.SAFE,2023-01-30 10:52:09.024,51,99.98798999999998,DESCENDING,T31UDP,T31UDP_20230130T105209,01,030,2023
51ff042b-296f-43fc-8d08-3cbad10a4011,S2A_MSIL2A_20230125T105331_N0509_R051_T31UDP_20230125T165502.SAFE,2023-01-25 10:53:31.024,51,99.998379,DESCENDING,T31UDP,T31UDP_20230125T105331,01,025,2023
07711dd4-37d5-4f8a-bf9f-2bf20e230c77,S2B_MSIL2A_20230120T105249_N0509_R051_T31UDP_20230120T122057.SAFE,2023-01-20 10:52:49.024,51,96.211863,DESCENDING,T31UDP,T31UDP_20230120T105249,01,020,2023
279ab529-3a26-4f32-badd-9c0c9ddd927d,S2A_MSIL2A_20230115T105411_N0509_R051_T31UDP_20230115T170300.SAFE,2023-01-15 10:54:11.024,51,10.114326,DESCENDING,T31UDP,T31UDP_20230115T105411,01,015,2023
aba9d6f0-029f-4dbe-b6c6-cf1fc90259e0,S2B_MSIL2A_20230110T105329_N0509_R051_T31UDP_20230110T123346.SAFE,2023-01-10 10:53:29.024,51,99.999946,DESCENDING,T31UDP,T31UDP_20230110T105329,01,010,2023
1faceb9e-5ab4-483f-9256-05541541e77e,S2A_MSIL2A_20230105T105431_N0509_R051_T31UDP_20230105T170358.SAFE,2023-01-05 10:54:31.024,51,99.995077,DESCENDING,T31UDP,T31UDP_20230105T105431,01,005,2023
fad1d63f-f972-4ab7-ad3d-2878932e623e,S2B_MSIL2A_20221231T105349_N0509_R051_T31UDP_20221231T122206.SAFE,2022-12-31 10:53:49.024,51,99.99976199999999,DESCENDING,T31UDP,T31UDP_20221231T105349,12,365,2022
26f72a56-3316-42ec-b1c5-09ffaab96440,S2A_MSIL2A_20221226T105451_N0509_R051_T31UDP_20221226T135457.SAFE,2022-12-26 10:54:51.024,51,100.0,DESCENDING,T31UDP,T31UDP_20221226T105451,12,360,2022
324ea8d7-5a8c-4342-bd74-4161ce95aa05,S2B_MSIL2A_20221221T105349_N0509_R051_T31UDP_20221221T122024.SAFE,2022-12-21 10:53:49.024,51,98.268765,DESCENDING,T31UDP,T31UDP_20221221T105349,12,355,2022
a0b3c0aa-9381-4a08-a7d8-56a499d1a26f,S2A_MSIL2A_20221216T105441_N0509_R051_T31UDP_20221216T165401.SAFE,2022-12-16 10:54:41.024,51,23.75565,DESCENDING,T31UDP,T31UDP_20221216T105441,12,350,2022
c22a36af-4a62-4b45-81fe-651e4dab3667,S2A_MSIL2A_20220709T105041_N0509_R051_T31UDP_20221214T145059.SAFE,2022-07-09 10:50:41.024,51,4.335075,DESCENDING,T31UDP,T31UDP_20220709T105041,07,190,2022
2ff0c8ed-512e-446a-a86e-7d390f113244,S2B_MSIL2A_20221211T105339_N0509_R051_T31UDP_20221211T122517.SAFE,2022-12-11 10:53:39.024,51,66.169935,DESCENDING,T31UDP,T31UDP_20221211T105339,12,345,2022
b9447622-cf49-4904-9aa6-697571eb5f8e,S2A_MSIL2A_20221206T105431_N0509_R051_T31UDP_20221206T170601.SAFE,2022-12-06 10:54:31.024,51,97.441864,DESCENDING,T31UDP,T31UDP_20221206T105431,12,340,2022
083f4df5-aa69-4092-b4ce-bf75beb469b1,S2B_MSIL2A_20221201T105319_N0400_R051_T31UDP_20221201T133909.SAFE,2022-12-01 10:53:19.024,51,97.754306,DESCENDING,T31UDP,T31UDP_20221201T105319,12,335,2022
dc5a12e6-adf0-4c58-a690-6e4b448c1f3c,S2A_MSIL2A_20221126T105401_N0400_R051_T31UDP_20221126T170312.SAFE,2022-11-26 10:54:01.024,51,99.900693,DESCENDING,T31UDP,T31UDP_20221126T105401,11,330,2022
2e69fe4f-40b1-4a54-b136-ea361b8292d7,S2B_MSIL2A_20221121T105249_N0400_R051_T31UDP_20221121T120820.SAFE,2022-11-21 10:52:49.024,51,100.0,DESCENDING,T31UDP,T31UDP_20221121T105249,11,325,2022
