,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
f6241d92-0be5-4206-a545-844cffddee49,S2A_MSIL2A_20220310T112121_N0400_R037_T30UXC_20220310T150305.SAFE,2022-03-10 11:21:21.024,37,19.627015,DESCENDING,T30UXC,T30UXC_20220310T112121,03,069,2022
c6517e50-1bcd-4532-a147-9500a9f898da,S2A_MSIL2A_20220307T110921_N0400_R137_T30UXC_20220307T144539.SAFE,2022-03-07 11:09:21.024,137,76.634741,DESCENDING,T30UXC,T30UXC_20220307T110921,03,066,2022
58307a20-7b4f-4a09-afd3-d67065203cd1,S2B_MSIL2A_20220305T112109_N0400_R037_T30UXC_20220305T133907.SAFE,2022-03-05 11:21:09.024,37,98.067623,DESCENDING,T30UXC,T30UXC_20220305T112109,03,064,2022
3b0cad3e-fc1e-4b03-a748-21e3ecebffc3,S2B_MSIL2A_20220302T110859_N0400_R137_T30UXC_20220302T151131.SAFE,2022-03-02 11:08:59.024,137,99.999994,DESCENDING,T30UXC,T30UXC_20220302T110859,03,061,2022
991ef9af-f807-4cd6-a985-49f748349dac,S2A_MSIL2A_20220228T112121_N0400_R037_T30UXC_20220228T151105.SAFE,2022-02-28 11:21:21.024,37,99.707669,DESCENDING,T30UXC,T30UXC_20220228T112121,02,059,2022
cba881f2-b8cc-4d02-bcd5-340506b0b9e6,S2A_MSIL2A_20220225T111051_N0400_R137_T30UXC_20220225T145335.SAFE,2022-02-25 11:10:51.024,137,14.730118,DESCENDING,T30UXC,T30UXC_20220225T111051,02,056,2022
2d28e768-13e5-462d-8658-d54736d1e781,S2B_MSIL2A_20220223T112109_N0400_R037_T30UXC_20220223T130405.SAFE,2022-02-23 11:21:09.024,37,81.391966,DESCENDING,T30UXC,T30UXC_20220223T112109,02,054,2022
10d144cd-8e3d-4c4b-9e65-322aeabed922,S2B_MSIL2A_20220220T110959_N0400_R137_T30UXC_20220220T130239.SAFE,2022-02-20 11:09:59.024,137,99.995792,DESCENDING,T30UXC,T30UXC_20220220T110959,02,051,2022
acb17449-e117-4166-ad31-c9b8d406dd76,S2A_MSIL2A_20220218T112121_N0400_R037_T30UXC_20220218T144331.SAFE,2022-02-18 11:21:21.024,37,99.225992,DESCENDING,T30UXC,T30UXC_20220218T112121,02,049,2022
7768712c-3b79-4314-b9e9-a3c2043bcff6,S2A_MSIL2A_20220215T111141_N0400_R137_T30UXC_20220215T145309.SAFE,2022-02-15 11:11:41.025,137,99.99999999999999,DESCENDING,T30UXC,T30UXC_20220215T111141,02,046,2022
56265225-8021-4257-995f-bcf10f163a98,S2B_MSIL2A_20220213T112109_N0400_R037_T30UXC_20220213T131500.SAFE,2022-02-13 11:21:09.024,37,100.0,DESCENDING,T30UXC,T30UXC_20220213T112109,02,044,2022
ab92fb0a-b388-45e1-8c56-df8872e07074,S2B_MSIL2A_20220210T111109_N0400_R137_T30UXC_20220210T130730.SAFE,2022-02-10 11:11:09.024,137,92.045271,DESCENDING,T30UXC,T30UXC_20220210T111109,02,041,2022
b17126ae-cbeb-444b-ab43-0d03dbae38c1,S2A_MSIL2A_20220208T112231_N0400_R037_T30UXC_20220208T144738.SAFE,2022-02-08 11:22:31.024,37,91.191345,DESCENDING,T30UXC,T30UXC_20220208T112231,02,039,2022
70dbe724-cba6-477b-965d-525e263ac576,S2A_MSIL2A_20220205T111241_N0400_R137_T30UXC_20220205T143058.SAFE,2022-02-05 11:12:41.024,137,41.69763600000001,DESCENDING,T30UXC,T30UXC_20220205T111241,02,036,2022
45a05193-921f-41e3-90ae-e901b23d26f6,S2B_MSIL2A_20220203T112159_N0400_R037_T30UXC_20220203T131740.SAFE,2022-02-03 11:21:59.024,37,98.377401,DESCENDING,T30UXC,T30UXC_20220203T112159,02,034,2022
825818d9-5e47-46b7-8e83-57c3134b6474,S2B_MSIL2A_20220131T111209_N0400_R137_T30UXC_20220131T130504.SAFE,2022-01-31 11:12:09.024,137,9.588531,DESCENDING,T30UXC,T30UXC_20220131T111209,01,031,2022
655a15f0-b71e-43ba-ac45-ed1b9fe3fa2e,S2A_MSIL2A_20220129T112321_N0400_R037_T30UXC_20220129T151825.SAFE,2022-01-29 11:23:21.024,37,89.912045,DESCENDING,T30UXC,T30UXC_20220129T112321,01,029,2022
4fd498a1-6c06-457d-bdae-48f8b7bc27f5,S2A_MSIL2A_20220126T111331_N0400_R137_T30UXC_20220128T125544.SAFE,2022-01-26 11:13:31.024,137,64.136475,DESCENDING,T30UXC,T30UXC_20220126T111331,01,026,2022
